Time,Level,Noise,Frequency,Bandwidth
19:55.4,-22.96,-41.72,103300,16000
19:55.4,-20.1,-41.7,103300,16000
19:55.5,-22.05,-41.63,103300,16000
19:55.6,-19.28,-41.64,103300,16000
19:55.6,-19.6,-41.64,103300,16000
19:55.7,-21.62,-41.6,103300,16000
19:55.7,-20.44,-41.6,103300,16000
19:55.7,-20.71,-41.59,103300,16000
19:55.8,-22.68,-41.59,103300,16000
19:55.9,-21.89,-41.63,103300,16000
19:55.9,-22.21,-41.64,103300,16000
19:55.9,-21.25,-41.61,103300,16000
19:56.0,-22.44,-41.62,103300,16000
19:56.1,-19.69,-41.65,103300,16000
19:56.1,-20.24,-41.63,103300,16000
19:56.2,-21.1,-41.56,103300,16000
19:56.2,-22.22,-41.53,103300,16000
19:56.3,-20.51,-41.56,103300,16000
19:56.3,-20.95,-41.54,103300,16000
19:56.4,-22.39,-41.47,103300,16000
19:56.4,-21.75,-41.43,103300,16000
19:56.5,-20,-41.41,103300,16000
19:56.5,-21.79,-41.4,103300,16000
19:56.6,-20.83,-41.4,103300,16000
19:56.6,-21.58,-41.35,103300,16000
19:56.7,-20.09,-41.37,103300,16000
19:56.7,-20.27,-41.39,103300,16000
19:56.8,-21.47,-41.39,103300,16000
19:56.8,-22.36,-41.4,103300,16000
19:56.8,-20.55,-41.4,103300,16000
19:56.9,-21.82,-41.39,103300,16000
19:56.9,-21.12,-41.39,103300,16000
19:57.0,-21.43,-41.39,103300,16000
19:57.0,-20.38,-41.34,103300,16000
19:57.1,-19.31,-41.34,103300,16000
19:57.1,-19.72,-41.39,103300,16000
19:57.2,-22.16,-41.39,103300,16000
19:57.3,-21.87,-41.39,103300,16000
19:57.3,-20.83,-41.4,103300,16000
19:57.4,-21.55,-41.43,103300,16000
19:57.4,-22.03,-41.43,103300,16000
19:57.4,-20.65,-41.44,103300,16000
19:57.5,-20.86,-41.49,103300,16000
19:57.6,-20.98,-41.49,103300,16000
19:57.6,-20.65,-41.49,103300,16000
19:57.7,-23.62,-41.53,103300,16000
19:57.7,-20.46,-41.53,103300,16000
19:57.8,-20,-41.53,103300,16000
19:57.8,-21.54,-41.56,103300,16000
19:57.9,-20.92,-41.56,103300,16000
19:57.9,-22.9,-41.58,103300,16000
19:58.0,-21.41,-41.61,103300,16000
19:58.0,-21.13,-41.55,103300,16000
19:58.1,-22.74,-41.58,103300,16000
19:58.1,-21.73,-41.58,103300,16000
19:58.1,-22.44,-41.64,103300,16000
19:58.2,-19.33,-41.65,103300,16000
19:58.3,-21.41,-41.63,103300,16000
19:58.3,-21.05,-41.65,103300,16000
19:58.4,-21.31,-41.63,103300,16000
19:58.5,-20.31,-41.62,103300,16000
19:58.5,-21.68,-41.56,103300,16000
19:58.6,-21.53,-41.56,103300,16000
19:58.6,-21.66,-41.52,103300,16000
19:58.7,-21.93,-41.57,103300,16000
19:58.7,-20.82,-41.53,103300,16000
